mu,G, G',F,F',F''
9.2,7.5852e-09,-6.02967e-25,7.47921,0.999999,1.97555e-07
9.3,7.5852e-09,-1.64654e-25,7.57921,0.999999,1.35591e-07
9.4,7.5852e-09,-4.47898e-26,7.67921,0.999999,9.25986e-08
9.5,7.5852e-09,-1.21482e-26,7.77921,0.999999,6.29231e-08
9.6,7.5852e-09,-3.28842e-27,7.87921,0.999999,4.25449e-08
9.7,7.5852e-09,-8.89253e-28,7.97921,0.999999,2.86231e-08
9.8,7.5852e-09,-2.40469e-28,8.07921,0.999999,1.91609e-08
9.9,7.5852e-09,-6.50916e-29,8.17921,0.999999,1.27629e-08
10,7.5852e-09,-1.76552e-29,8.27921,0.999999,8.45892e-09
10.1,7.5852e-09,-4.80339e-30,8.37921,0.999999,5.57844e-09
