theta, sigma
3.19, 1.31447
3.2, 1.31495
3.21, 1.31541
3.22, 1.31587
3.23, 1.31633
3.24, 1.31678
3.25, 1.31723
3.26, 1.31767
3.27, 1.3181
3.28, 1.31854
3.29, 1.31896
3.3, 1.31938
3.31, 1.3198
3.32, 1.32022
3.33, 1.32062
3.34, 1.32103
3.35, 1.32143
3.36, 1.32182
3.37, 1.32221
3.38, 1.3226
3.39, 1.32298
3.4, 1.32336
3.41, 1.32374
3.42, 1.32411
3.43, 1.32447
3.44, 1.32484
3.45, 1.32519
3.46, 1.32555
3.47, 1.3259
3.48, 1.32625
3.49, 1.32659
3.5, 1.32693
3.51, 1.32726
3.52, 1.3276
3.53, 1.32793
3.54, 1.32825
3.55, 1.32857
3.56, 1.32889
3.57, 1.32921
3.58, 1.32952
3.59, 1.32982
3.6, 1.33013
3.61, 1.33043
3.62, 1.33073
3.63, 1.33102
3.64, 1.33132
3.65, 1.3316
3.66, 1.33189
3.67, 1.33217
3.68, 1.33245
3.69, 1.33273
3.7, 1.333
3.71, 1.33327
3.72, 1.33354
3.73, 1.33381
3.74, 1.33407
3.75, 1.33433
3.76, 1.33458
3.77, 1.33484
3.78, 1.33509
3.79, 1.33534
3.8, 1.33558
3.81, 1.33583
3.82, 1.33607
3.83, 1.3363
3.84, 1.33654
3.85, 1.33677
3.86, 1.337
3.87, 1.33723
3.88, 1.33746
3.89, 1.33768
3.9, 1.3379
3.91, 1.33812
3.92, 1.33834
3.93, 1.33855
3.94, 1.33876
3.95, 1.33897
3.96, 1.33918
3.97, 1.33938
3.98, 1.33959
3.99, 1.33979
4, 1.33999
4.01, 1.34018
4.02, 1.34038
4.03, 1.34057
4.04, 1.34076
4.05, 1.34095
4.06, 1.34114
4.07, 1.34132
4.08, 1.3415
4.09, 1.34168
4.1, 1.34186
4.11, 1.34204
4.12, 1.34221
4.13, 1.34239
4.14, 1.34256
4.15, 1.34273
4.16, 1.3429
4.17, 1.34306
4.18, 1.34323
4.19, 1.34339
4.2, 1.34355
4.21, 1.34371
4.22, 1.34387
4.23, 1.34402
4.24, 1.34418
4.25, 1.34433
4.26, 1.34448
4.27, 1.34463
4.28, 1.34478
4.29, 1.34492
4.3, 1.34507
4.31, 1.34521
4.32, 1.34535
4.33, 1.34549
4.34, 1.34563
4.35, 1.34577
4.36, 1.34591
4.37, 1.34604
4.38, 1.34617
4.39, 1.34631
4.4, 1.34644
4.41, 1.34657
4.42, 1.34669
4.43, 1.34682
4.44, 1.34695
4.45, 1.34707
4.46, 1.34719
4.47, 1.34731
4.48, 1.34743
4.49, 1.34755
4.5, 1.34767
4.51, 1.34779
4.52, 1.3479
4.53, 1.34801
4.54, 1.34813
4.55, 1.34824
4.56, 1.34835
4.57, 1.34846
4.58, 1.34857
4.59, 1.34867
4.6, 1.34878
4.61, 1.34889
4.62, 1.34899
4.63, 1.34909
4.64, 1.34919
4.65, 1.34929
4.66, 1.34939
4.67, 1.34949
4.68, 1.34959
4.69, 1.34969
4.7, 1.34978
4.71, 1.34988
4.72, 1.34997
4.73, 1.35006
4.74, 1.35015
4.75, 1.35024
4.76, 1.35033
4.77, 1.35042
4.78, 1.35051
4.79, 1.3506
4.8, 1.35068
4.81, 1.35077
4.82, 1.35085
4.83, 1.35094
4.84, 1.35102
4.85, 1.3511
4.86, 1.35118
4.87, 1.35126
4.88, 1.35134
4.89, 1.35142
4.9, 1.3515
4.91, 1.35157
4.92, 1.35165
4.93, 1.35173
4.94, 1.3518
4.95, 1.35187
4.96, 1.35195
4.97, 1.35202
4.98, 1.35209
4.99, 1.35216
5, 1.35223
5.01, 1.3523
5.02, 1.35237
5.03, 1.35244
5.04, 1.35251
5.05, 1.35257
5.06, 1.35264
5.07, 1.3527
5.08, 1.35277
5.09, 1.35283
5.1, 1.3529
5.11, 1.35296
5.12, 1.35302
5.13, 1.35308
5.14, 1.35314
5.15, 1.3532
5.16, 1.35326
5.17, 1.35332
5.18, 1.35338
5.19, 1.35344
5.2, 1.35349
5.21, 1.35355
5.22, 1.35361
5.23, 1.35366
5.24, 1.35372
5.25, 1.35377
5.26, 1.35382
5.27, 1.35388
5.28, 1.35393
5.29, 1.35398
5.3, 1.35403
5.31, 1.35408
5.32, 1.35413
5.33, 1.35418
5.34, 1.35423
5.35, 1.35428
5.36, 1.35433
5.37, 1.35438
5.38, 1.35443
5.39, 1.35447
5.4, 1.35452
5.41, 1.35457
5.42, 1.35461
5.43, 1.35466
5.44, 1.3547
5.45, 1.35475
5.46, 1.35479
5.47, 1.35483
5.48, 1.35488
5.49, 1.35492
5.5, 1.35496
5.51, 1.355
5.52, 1.35504
5.53, 1.35508
5.54, 1.35512
5.55, 1.35516
5.56, 1.3552
5.57, 1.35524
5.58, 1.35528
5.59, 1.35532
5.6, 1.35536
5.61, 1.3554
5.62, 1.35543
5.63, 1.35547
5.64, 1.35551
5.65, 1.35554
5.66, 1.35558
5.67, 1.35561
5.68, 1.35565
5.69, 1.35568
5.7, 1.35572
5.71, 1.35575
5.72, 1.35578
5.73, 1.35582
5.74, 1.35585
5.75, 1.35588
5.76, 1.35592
5.77, 1.35595
5.78, 1.35598
5.79, 1.35601
5.8, 1.35604
5.81, 1.35607
5.82, 1.3561
5.83, 1.35613
5.84, 1.35616
5.85, 1.35619
5.86, 1.35622
5.87, 1.35625
5.88, 1.35628
5.89, 1.35631
5.9, 1.35633
5.91, 1.35636
5.92, 1.35639
5.93, 1.35642
5.94, 1.35644
5.95, 1.35647
5.96, 1.3565
5.97, 1.35652
5.98, 1.35655
5.99, 1.35657
6, 1.3566
6.01, 1.35662
6.02, 1.35665
6.03, 1.35667
6.04, 1.3567
6.05, 1.35672
6.06, 1.35675
6.07, 1.35677
6.08, 1.35679
6.09, 1.35682
6.1, 1.35684
6.11, 1.35686
6.12, 1.35688
6.13, 1.35691
6.14, 1.35693
6.15, 1.35695
6.16, 1.35697
6.17, 1.35699
6.18, 1.35701
6.19, 1.35703
6.2, 1.35705
6.21, 1.35708
6.22, 1.3571
6.23, 1.35712
6.24, 1.35714
6.25, 1.35716
6.26, 1.35717
6.27, 1.35719
6.28, 1.35721
6.29, 1.35723
6.3, 1.35725
6.31, 1.35727
6.32, 1.35729
6.33, 1.35731
6.34, 1.35732
6.35, 1.35734
6.36, 1.35736
6.37, 1.35738
6.38, 1.35739
6.39, 1.35741
6.4, 1.35743
6.41, 1.35744
6.42, 1.35746
6.43, 1.35748
6.44, 1.35749
6.45, 1.35751
6.46, 1.35752
6.47, 1.35754
6.48, 1.35756
6.49, 1.35757
6.5, 1.35759
6.51, 1.3576
6.52, 1.35762
6.53, 1.35763
6.54, 1.35765
6.55, 1.35766
6.56, 1.35768
6.57, 1.35769
6.58, 1.3577
6.59, 1.35772
6.6, 1.35773
6.61, 1.35774
6.62, 1.35776
6.63, 1.35777
6.64, 1.35779
6.65, 1.3578
6.66, 1.35781
6.67, 1.35782
6.68, 1.35784
6.69, 1.35785
6.7, 1.35786
6.71, 1.35787
6.72, 1.35789
6.73, 1.3579
6.74, 1.35791
6.75, 1.35792
6.76, 1.35793
6.77, 1.35795
6.78, 1.35796
6.79, 1.35797
6.8, 1.35798
6.81, 1.35799
6.82, 1.358
6.83, 1.35801
6.84, 1.35802
6.85, 1.35803
6.86, 1.35805
6.87, 1.35806
6.88, 1.35807
6.89, 1.35808
6.9, 1.35809
6.91, 1.3581
6.92, 1.35811
6.93, 1.35812
6.94, 1.35813
6.95, 1.35814
6.96, 1.35815
6.97, 1.35816
6.98, 1.35816
6.99, 1.35817
7, 1.35818
7.01, 1.35819
7.02, 1.3582
7.03, 1.35821
7.04, 1.35822
7.05, 1.35823
7.06, 1.35824
7.07, 1.35825
7.08, 1.35825
7.09, 1.35826
7.1, 1.35827
7.11, 1.35828
7.12, 1.35829
7.13, 1.3583
7.14, 1.3583
7.15, 1.35831
7.16, 1.35832
7.17, 1.35833
7.18, 1.35833
7.19, 1.35834
7.2, 1.35835
7.21, 1.35836
7.22, 1.35836
7.23, 1.35837
7.24, 1.35838
7.25, 1.35839
7.26, 1.35839
7.27, 1.3584
7.28, 1.35841
7.29, 1.35841
7.3, 1.35842
7.31, 1.35843
7.32, 1.35843
7.33, 1.35844
7.34, 1.35845
7.35, 1.35845
7.36, 1.35846
7.37, 1.35847
7.38, 1.35847
7.39, 1.35848
7.4, 1.35849
7.41, 1.35849
7.42, 1.3585
7.43, 1.3585
7.44, 1.35851
7.45, 1.35852
7.46, 1.35852
7.47, 1.35853
7.48, 1.35853
7.49, 1.35854
7.5, 1.35854
7.51, 1.35855
7.52, 1.35855
7.53, 1.35856
7.54, 1.35857
7.55, 1.35857
7.56, 1.35858
7.57, 1.35858
7.58, 1.35859
7.59, 1.35859
7.6, 1.3586
7.61, 1.3586
7.62, 1.35861
7.63, 1.35861
7.64, 1.35862
7.65, 1.35862
7.66, 1.35863
7.67, 1.35863
7.68, 1.35864
7.69, 1.35864
7.7, 1.35864
7.71, 1.35865
7.72, 1.35865
7.73, 1.35866
7.74, 1.35866
7.75, 1.35867
7.76, 1.35867
7.77, 1.35868
7.78, 1.35868
7.79, 1.35868
7.8, 1.35869
7.81, 1.35869
7.82, 1.3587
7.83, 1.3587
7.84, 1.3587
7.85, 1.35871
7.86, 1.35871
7.87, 1.35872
7.88, 1.35872
7.89, 1.35872
7.9, 1.35873
7.91, 1.35873
7.92, 1.35873
7.93, 1.35874
7.94, 1.35874
7.95, 1.35875
7.96, 1.35875
7.97, 1.35875
7.98, 1.35876
7.99, 1.35876
8, 1.35876
8.01, 1.35877
8.02, 1.35877
8.03, 1.35877
8.04, 1.35878
8.05, 1.35878
8.06, 1.35878
8.07, 1.35879
8.08, 1.35879
8.09, 1.35879
8.1, 1.35879
8.11, 1.3588
8.12, 1.3588
8.13, 1.3588
8.14, 1.35881
8.15, 1.35881
8.16, 1.35881
8.17, 1.35881
8.18, 1.35882
8.19, 1.35882
8.2, 1.35882
8.21, 1.35883
8.22, 1.35883
8.23, 1.35883
8.24, 1.35883
8.25, 1.35884
8.26, 1.35884
8.27, 1.35884
8.28, 1.35884
8.29, 1.35885
8.3, 1.35885
8.31, 1.35885
8.32, 1.35885
8.33, 1.35886
8.34, 1.35886
8.35, 1.35886
8.36, 1.35886
8.37, 1.35887
8.38, 1.35887
8.39, 1.35887
8.4, 1.35887
8.41, 1.35888
8.42, 1.35888
8.43, 1.35888
8.44, 1.35888
8.45, 1.35888
8.46, 1.35889
8.47, 1.35889
8.48, 1.35889
8.49, 1.35889
8.5, 1.35889
8.51, 1.3589
8.52, 1.3589
8.53, 1.3589
8.54, 1.3589
8.55, 1.3589
8.56, 1.35891
8.57, 1.35891
8.58, 1.35891
8.59, 1.35891
8.6, 1.35891
8.61, 1.35892
8.62, 1.35892
8.63, 1.35892
8.64, 1.35892
