theta, sigma
14.01, 1.3591
14.02, 1.3591
14.03, 1.3591
14.04, 1.3591
14.05, 1.3591
14.06, 1.3591
14.07, 1.3591
14.08, 1.3591
14.09, 1.3591
14.1, 1.3591
14.11, 1.3591
14.12, 1.3591
14.13, 1.3591
14.14, 1.3591
14.15, 1.3591
14.16, 1.3591
14.17, 1.3591
14.18, 1.3591
14.19, 1.3591
14.2, 1.3591
14.21, 1.3591
14.22, 1.3591
14.23, 1.3591
14.24, 1.3591
14.25, 1.3591
14.26, 1.3591
14.27, 1.3591
14.28, 1.3591
14.29, 1.3591
14.3, 1.3591
14.31, 1.3591
14.32, 1.3591
14.33, 1.3591
14.34, 1.3591
14.35, 1.3591
14.36, 1.3591
14.37, 1.3591
14.38, 1.3591
14.39, 1.3591
14.4, 1.3591
14.41, 1.3591
14.42, 1.3591
14.43, 1.3591
14.44, 1.3591
14.45, 1.3591
14.46, 1.3591
14.47, 1.3591
14.48, 1.3591
14.49, 1.3591
14.5, 1.3591
14.51, 1.3591
14.52, 1.3591
14.53, 1.3591
14.54, 1.3591
14.55, 1.3591
14.56, 1.3591
14.57, 1.3591
14.58, 1.3591
14.59, 1.3591
14.6, 1.3591
14.61, 1.3591
14.62, 1.3591
14.63, 1.3591
14.64, 1.3591
14.65, 1.3591
14.66, 1.3591
14.67, 1.3591
14.68, 1.3591
14.69, 1.3591
14.7, 1.3591
14.71, 1.3591
14.72, 1.3591
14.73, 1.3591
14.74, 1.3591
14.75, 1.3591
14.76, 1.3591
14.77, 1.3591
14.78, 1.3591
14.79, 1.3591
14.8, 1.3591
14.81, 1.3591
14.82, 1.3591
14.83, 1.3591
14.84, 1.3591
14.85, 1.3591
14.86, 1.3591
14.87, 1.3591
14.88, 1.3591
14.89, 1.3591
14.9, 1.3591
14.91, 1.3591
14.92, 1.3591
14.93, 1.3591
14.94, 1.3591
14.95, 1.3591
14.96, 1.3591
14.97, 1.3591
14.98, 1.3591
14.99, 1.3591
15, 1.3591
15.01, 1.3591
15.02, 1.3591
15.03, 1.3591
15.04, 1.3591
15.05, 1.3591
15.06, 1.3591
15.07, 1.3591
15.08, 1.3591
15.09, 1.3591
15.1, 1.3591
15.11, 1.3591
15.12, 1.3591
15.13, 1.3591
15.14, 1.3591
15.15, 1.3591
15.16, 1.3591
15.17, 1.3591
15.18, 1.3591
15.19, 1.3591
15.2, 1.3591
15.21, 1.3591
15.22, 1.3591
15.23, 1.3591
15.24, 1.3591
15.25, 1.3591
15.26, 1.3591
15.27, 1.3591
15.28, 1.3591
15.29, 1.3591
15.3, 1.3591
15.31, 1.3591
15.32, 1.3591
15.33, 1.3591
15.34, 1.3591
15.35, 1.3591
15.36, 1.3591
15.37, 1.3591
15.38, 1.3591
15.39, 1.3591
15.4, 1.3591
15.41, 1.3591
15.42, 1.3591
15.43, 1.3591
15.44, 1.3591
15.45, 1.3591
15.46, 1.3591
15.47, 1.3591
15.48, 1.3591
15.49, 1.3591
15.5, 1.3591
15.51, 1.3591
15.52, 1.3591
15.53, 1.3591
15.54, 1.3591
15.55, 1.3591
15.56, 1.3591
15.57, 1.3591
15.58, 1.3591
15.59, 1.3591
15.6, 1.3591
15.61, 1.3591
15.62, 1.3591
15.63, 1.3591
15.64, 1.3591
15.65, 1.3591
15.66, 1.3591
15.67, 1.3591
15.68, 1.3591
15.69, 1.3591
15.7, 1.3591
15.71, 1.3591
15.72, 1.3591
15.73, 1.3591
15.74, 1.3591
15.75, 1.3591
15.76, 1.3591
15.77, 1.3591
15.78, 1.3591
15.79, 1.3591
15.8, 1.3591
15.81, 1.3591
15.82, 1.3591
15.83, 1.3591
15.84, 1.3591
15.85, 1.3591
15.86, 1.3591
15.87, 1.3591
15.88, 1.3591
15.89, 1.3591
15.9, 1.3591
15.91, 1.3591
15.92, 1.3591
15.93, 1.3591
15.94, 1.3591
15.95, 1.3591
15.96, 1.3591
15.97, 1.3591
15.98, 1.3591
15.99, 1.3591
16, 1.3591
16.01, 1.3591
16.02, 1.3591
16.03, 1.3591
16.04, 1.3591
16.05, 1.3591
16.06, 1.3591
16.07, 1.3591
16.08, 1.3591
16.09, 1.3591
16.1, 1.3591
16.11, 1.3591
16.12, 1.3591
16.13, 1.3591
16.14, 1.3591
16.15, 1.3591
16.16, 1.3591
16.17, 1.3591
16.18, 1.3591
16.19, 1.3591
16.2, 1.3591
16.21, 1.3591
16.22, 1.3591
16.23, 1.3591
16.24, 1.3591
16.25, 1.3591
16.26, 1.3591
16.27, 1.3591
16.28, 1.3591
16.29, 1.3591
16.3, 1.3591
16.31, 1.3591
16.32, 1.3591
16.33, 1.3591
16.34, 1.3591
16.35, 1.3591
16.36, 1.3591
16.37, 1.3591
16.38, 1.3591
16.39, 1.3591
16.4, 1.3591
16.41, 1.3591
16.42, 1.3591
16.43, 1.3591
16.44, 1.3591
16.45, 1.3591
16.46, 1.3591
16.47, 1.3591
16.48, 1.3591
16.49, 1.3591
16.5, 1.3591
16.51, 1.3591
16.52, 1.3591
16.53, 1.3591
16.54, 1.3591
16.55, 1.3591
16.56, 1.3591
16.57, 1.3591
16.58, 1.3591
16.59, 1.3591
16.6, 1.3591
16.61, 1.3591
16.62, 1.3591
16.63, 1.3591
16.64, 1.3591
16.65, 1.3591
16.66, 1.3591
16.67, 1.3591
16.68, 1.3591
16.69, 1.3591
16.7, 1.3591
16.71, 1.3591
16.72, 1.3591
16.73, 1.3591
16.74, 1.3591
16.75, 1.3591
16.76, 1.3591
16.77, 1.3591
16.78, 1.3591
16.79, 1.3591
16.8, 1.3591
16.81, 1.3591
16.82, 1.3591
16.83, 1.3591
16.84, 1.3591
16.85, 1.3591
16.86, 1.3591
16.87, 1.3591
16.88, 1.3591
16.89, 1.3591
16.9, 1.3591
16.91, 1.3591
16.92, 1.3591
16.93, 1.3591
16.94, 1.3591
16.95, 1.3591
16.96, 1.3591
16.97, 1.3591
16.98, 1.3591
16.99, 1.3591
17, 1.3591
17.01, 1.3591
17.02, 1.3591
17.03, 1.3591
17.04, 1.3591
17.05, 1.3591
17.06, 1.3591
17.07, 1.3591
17.08, 1.3591
17.09, 1.3591
17.1, 1.3591
17.11, 1.3591
17.12, 1.3591
17.13, 1.3591
17.14, 1.3591
17.15, 1.3591
17.16, 1.3591
17.17, 1.3591
17.18, 1.3591
17.19, 1.3591
17.2, 1.3591
17.21, 1.3591
17.22, 1.3591
17.23, 1.3591
17.24, 1.3591
17.25, 1.3591
17.26, 1.3591
17.27, 1.3591
17.28, 1.3591
17.29, 1.3591
17.3, 1.3591
17.31, 1.3591
17.32, 1.3591
17.33, 1.3591
17.34, 1.3591
17.35, 1.3591
17.36, 1.3591
17.37, 1.3591
17.38, 1.3591
17.39, 1.3591
17.4, 1.3591
17.41, 1.3591
17.42, 1.3591
17.43, 1.3591
17.44, 1.3591
17.45, 1.3591
17.46, 1.3591
17.47, 1.3591
17.48, 1.3591
17.49, 1.3591
17.5, 1.3591
17.51, 1.3591
17.52, 1.3591
17.53, 1.3591
17.54, 1.3591
17.55, 1.3591
17.56, 1.3591
17.57, 1.3591
17.58, 1.3591
17.59, 1.3591
17.6, 1.3591
17.61, 1.3591
17.62, 1.3591
17.63, 1.3591
17.64, 1.3591
17.65, 1.3591
17.66, 1.3591
17.67, 1.3591
17.68, 1.3591
17.69, 1.3591
17.7, 1.3591
17.71, 1.3591
17.72, 1.3591
17.73, 1.3591
17.74, 1.3591
17.75, 1.3591
17.76, 1.3591
17.77, 1.3591
17.78, 1.3591
17.79, 1.3591
17.8, 1.3591
17.81, 1.3591
17.82, 1.3591
17.83, 1.3591
17.84, 1.3591
17.85, 1.3591
17.86, 1.3591
17.87, 1.3591
17.88, 1.3591
17.89, 1.3591
17.9, 1.3591
17.91, 1.3591
17.92, 1.3591
17.93, 1.3591
17.94, 1.3591
17.95, 1.3591
17.96, 1.3591
17.97, 1.3591
17.98, 1.3591
17.99, 1.3591
18, 1.3591
18.01, 1.3591
18.02, 1.3591
18.03, 1.3591
18.04, 1.3591
18.05, 1.3591
18.06, 1.3591
18.07, 1.3591
18.08, 1.3591
18.09, 1.3591
18.1, 1.3591
18.11, 1.3591
18.12, 1.3591
18.13, 1.3591
18.14, 1.3591
18.15, 1.3591
18.16, 1.3591
18.17, 1.3591
18.18, 1.3591
18.19, 1.3591
18.2, 1.3591
18.21, 1.3591
18.22, 1.3591
18.23, 1.3591
18.24, 1.3591
18.25, 1.3591
18.26, 1.3591
18.27, 1.3591
18.28, 1.3591
18.29, 1.3591
18.3, 1.3591
18.31, 1.3591
18.32, 1.3591
18.33, 1.3591
18.34, 1.3591
18.35, 1.3591
18.36, 1.3591
18.37, 1.3591
18.38, 1.3591
18.39, 1.3591
18.4, 1.3591
18.41, 1.3591
18.42, 1.3591
18.43, 1.3591
18.44, 1.3591
18.45, 1.3591
18.46, 1.3591
18.47, 1.3591
18.48, 1.3591
18.49, 1.3591
18.5, 1.3591
18.51, 1.3591
18.52, 1.3591
18.53, 1.3591
18.54, 1.3591
18.55, 1.3591
18.56, 1.3591
18.57, 1.3591
18.58, 1.3591
18.59, 1.3591
18.6, 1.3591
18.61, 1.3591
18.62, 1.3591
18.63, 1.3591
18.64, 1.3591
18.65, 1.3591
18.66, 1.3591
18.67, 1.3591
18.68, 1.3591
18.69, 1.3591
18.7, 1.3591
18.71, 1.3591
18.72, 1.3591
18.73, 1.3591
18.74, 1.3591
18.75, 1.3591
18.76, 1.3591
18.77, 1.3591
18.78, 1.3591
18.79, 1.3591
18.8, 1.3591
18.81, 1.3591
18.82, 1.3591
18.83, 1.3591
18.84, 1.3591
18.85, 1.3591
18.86, 1.3591
18.87, 1.3591
18.88, 1.3591
18.89, 1.3591
18.9, 1.3591
18.91, 1.3591
18.92, 1.3591
18.93, 1.3591
18.94, 1.3591
18.95, 1.3591
18.96, 1.3591
18.97, 1.3591
18.98, 1.3591
18.99, 1.3591
19, 1.3591
19.01, 1.3591
19.02, 1.3591
19.03, 1.3591
19.04, 1.3591
19.05, 1.3591
19.06, 1.3591
19.07, 1.3591
19.08, 1.3591
19.09, 1.3591
19.1, 1.3591
19.11, 1.3591
19.12, 1.3591
19.13, 1.3591
19.14, 1.3591
19.15, 1.3591
19.16, 1.3591
19.17, 1.3591
19.18, 1.3591
19.19, 1.3591
19.2, 1.3591
19.21, 1.3591
19.22, 1.3591
19.23, 1.3591
19.24, 1.3591
19.25, 1.3591
19.26, 1.3591
19.27, 1.3591
19.28, 1.3591
19.29, 1.3591
19.3, 1.3591
19.31, 1.3591
19.32, 1.3591
19.33, 1.3591
19.34, 1.3591
19.35, 1.3591
19.36, 1.3591
19.37, 1.3591
19.38, 1.3591
19.39, 1.3591
19.4, 1.3591
19.41, 1.3591
19.42, 1.3591
19.43, 1.3591
19.44, 1.3591
19.45, 1.3591
19.46, 1.3591
19.47, 1.3591
19.48, 1.3591
19.49, 1.3591
19.5, 1.3591
19.51, 1.3591
19.52, 1.3591
19.53, 1.3591
19.54, 1.3591
19.55, 1.3591
19.56, 1.3591
19.57, 1.3591
19.58, 1.3591
19.59, 1.3591
19.6, 1.3591
19.61, 1.3591
19.62, 1.3591
19.63, 1.3591
19.64, 1.3591
19.65, 1.3591
19.66, 1.3591
19.67, 1.3591
19.68, 1.3591
19.69, 1.3591
19.7, 1.3591
19.71, 1.3591
19.72, 1.3591
19.73, 1.3591
19.74, 1.3591
19.75, 1.3591
19.76, 1.3591
19.77, 1.3591
19.78, 1.3591
19.79, 1.3591
19.8, 1.3591
19.81, 1.3591
19.82, 1.3591
19.83, 1.3591
19.84, 1.3591
19.85, 1.3591
19.86, 1.3591
19.87, 1.3591
19.88, 1.3591
19.89, 1.3591
19.9, 1.3591
19.91, 1.3591
19.92, 1.3591
19.93, 1.3591
19.94, 1.3591
19.95, 1.3591
19.96, 1.3591
19.97, 1.3591
19.98, 1.3591
19.99, 1.3591
20, 1.3591
