sigma, delta
13.98, 0.616997
13.99, 0.617005
14, 0.617012
14.01, 0.61702
14.02, 0.617028
14.03, 0.617036
14.04, 0.617043
14.05, 0.617051
14.06, 0.617059
14.07, 0.617066
14.08, 0.617074
14.09, 0.617082
14.1, 0.617089
14.11, 0.617097
14.12, 0.617104
14.13, 0.617112
14.14, 0.617119
14.15, 0.617126
14.16, 0.617134
14.17, 0.617141
14.18, 0.617148
14.19, 0.617156
14.2, 0.617163
14.21, 0.61717
14.22, 0.617177
14.23, 0.617185
14.24, 0.617192
14.25, 0.617199
14.26, 0.617206
14.27, 0.617213
14.28, 0.61722
14.29, 0.617227
14.3, 0.617234
14.31, 0.617241
14.32, 0.617248
14.33, 0.617255
14.34, 0.617262
14.35, 0.617268
14.36, 0.617275
14.37, 0.617282
14.38, 0.617289
14.39, 0.617296
14.4, 0.617302
14.41, 0.617309
14.42, 0.617316
14.43, 0.617322
14.44, 0.617329
14.45, 0.617336
14.46, 0.617342
14.47, 0.617349
14.48, 0.617355
14.49, 0.617362
14.5, 0.617368
14.51, 0.617375
14.52, 0.617381
14.53, 0.617387
14.54, 0.617394
14.55, 0.6174
14.56, 0.617407
14.57, 0.617413
14.58, 0.617419
14.59, 0.617425
14.6, 0.617432
14.61, 0.617438
14.62, 0.617444
14.63, 0.61745
14.64, 0.617456
14.65, 0.617462
14.66, 0.617468
14.67, 0.617475
14.68, 0.617481
14.69, 0.617487
14.7, 0.617493
14.71, 0.617499
14.72, 0.617504
14.73, 0.61751
14.74, 0.617516
14.75, 0.617522
14.76, 0.617528
14.77, 0.617534
14.78, 0.61754
14.79, 0.617545
14.8, 0.617551
14.81, 0.617557
14.82, 0.617563
14.83, 0.617568
14.84, 0.617574
14.85, 0.61758
14.86, 0.617585
14.87, 0.617591
14.88, 0.617597
14.89, 0.617602
14.9, 0.617608
14.91, 0.617613
14.92, 0.617619
14.93, 0.617624
14.94, 0.61763
14.95, 0.617635
14.96, 0.617641
14.97, 0.617646
14.98, 0.617651
14.99, 0.617657
15, 0.617662
15.01, 0.617667
15.02, 0.617673
15.03, 0.617678
15.04, 0.617683
15.05, 0.617689
15.06, 0.617694
15.07, 0.617699
15.08, 0.617704
15.09, 0.617709
15.1, 0.617715
15.11, 0.61772
15.12, 0.617725
15.13, 0.61773
15.14, 0.617735
15.15, 0.61774
15.16, 0.617745
15.17, 0.61775
15.18, 0.617755
15.19, 0.61776
15.2, 0.617765
15.21, 0.61777
15.22, 0.617775
15.23, 0.61778
15.24, 0.617785
15.25, 0.617789
15.26, 0.617794
15.27, 0.617799
15.28, 0.617804
15.29, 0.617809
15.3, 0.617813
15.31, 0.617818
15.32, 0.617823
15.33, 0.617828
15.34, 0.617832
15.35, 0.617837
15.36, 0.617842
15.37, 0.617846
15.38, 0.617851
15.39, 0.617856
15.4, 0.61786
15.41, 0.617865
15.42, 0.617869
15.43, 0.617874
15.44, 0.617878
15.45, 0.617883
15.46, 0.617887
15.47, 0.617892
15.48, 0.617896
15.49, 0.617901
15.5, 0.617905
15.51, 0.617909
15.52, 0.617914
15.53, 0.617918
15.54, 0.617923
15.55, 0.617927
15.56, 0.617931
15.57, 0.617935
15.58, 0.61794
15.59, 0.617944
15.6, 0.617948
15.61, 0.617953
15.62, 0.617957
15.63, 0.617961
15.64, 0.617965
15.65, 0.617969
15.66, 0.617973
15.67, 0.617978
15.68, 0.617982
15.69, 0.617986
15.7, 0.61799
15.71, 0.617994
15.72, 0.617998
15.73, 0.618002
15.74, 0.618006
15.75, 0.61801
15.76, 0.618014
15.77, 0.618018
15.78, 0.618022
15.79, 0.618026
15.8, 0.61803
15.81, 0.618034
15.82, 0.618038
15.83, 0.618042
15.84, 0.618046
15.85, 0.618049
15.86, 0.618053
15.87, 0.618057
15.88, 0.618061
15.89, 0.618065
15.9, 0.618069
15.91, 0.618072
15.92, 0.618076
15.93, 0.61808
15.94, 0.618084
15.95, 0.618087
15.96, 0.618091
15.97, 0.618095
15.98, 0.618098
15.99, 0.618102
16, 0.618106
16.01, 0.618109
16.02, 0.618113
16.03, 0.618117
16.04, 0.61812
16.05, 0.618124
16.06, 0.618127
16.07, 0.618131
16.08, 0.618134
16.09, 0.618138
16.1, 0.618141
16.11, 0.618145
16.12, 0.618148
16.13, 0.618152
16.14, 0.618155
16.15, 0.618159
16.16, 0.618162
16.17, 0.618166
16.18, 0.618169
16.19, 0.618172
16.2, 0.618176
16.21, 0.618179
16.22, 0.618183
16.23, 0.618186
16.24, 0.618189
16.25, 0.618193
16.26, 0.618196
16.27, 0.618199
16.28, 0.618202
16.29, 0.618206
16.3, 0.618209
16.31, 0.618212
16.32, 0.618215
16.33, 0.618219
16.34, 0.618222
16.35, 0.618225
16.36, 0.618228
16.37, 0.618231
16.38, 0.618235
16.39, 0.618238
16.4, 0.618241
16.41, 0.618244
16.42, 0.618247
16.43, 0.61825
16.44, 0.618253
16.45, 0.618256
16.46, 0.618259
16.47, 0.618262
16.48, 0.618266
16.49, 0.618269
16.5, 0.618272
16.51, 0.618275
16.52, 0.618278
16.53, 0.618281
16.54, 0.618283
16.55, 0.618286
16.56, 0.618289
16.57, 0.618292
16.58, 0.618295
16.59, 0.618298
16.6, 0.618301
16.61, 0.618304
16.62, 0.618307
16.63, 0.61831
16.64, 0.618313
16.65, 0.618315
16.66, 0.618318
16.67, 0.618321
16.68, 0.618324
16.69, 0.618327
16.7, 0.61833
16.71, 0.618332
16.72, 0.618335
16.73, 0.618338
16.74, 0.618341
16.75, 0.618343
16.76, 0.618346
16.77, 0.618349
16.78, 0.618351
16.79, 0.618354
16.8, 0.618357
16.81, 0.61836
16.82, 0.618362
16.83, 0.618365
16.84, 0.618368
16.85, 0.61837
16.86, 0.618373
16.87, 0.618375
16.88, 0.618378
16.89, 0.618381
16.9, 0.618383
16.91, 0.618386
16.92, 0.618388
16.93, 0.618391
16.94, 0.618393
16.95, 0.618396
16.96, 0.618399
16.97, 0.618401
16.98, 0.618404
16.99, 0.618406
17, 0.618409
17.01, 0.618411
17.02, 0.618414
17.03, 0.618416
17.04, 0.618418
17.05, 0.618421
17.06, 0.618423
17.07, 0.618426
17.08, 0.618428
17.09, 0.618431
17.1, 0.618433
17.11, 0.618435
17.12, 0.618438
17.13, 0.61844
17.14, 0.618443
17.15, 0.618445
17.16, 0.618447
17.17, 0.61845
17.18, 0.618452
17.19, 0.618454
17.2, 0.618456
17.21, 0.618459
17.22, 0.618461
17.23, 0.618463
17.24, 0.618466
17.25, 0.618468
17.26, 0.61847
17.27, 0.618472
17.28, 0.618475
17.29, 0.618477
17.3, 0.618479
17.31, 0.618481
17.32, 0.618484
17.33, 0.618486
17.34, 0.618488
17.35, 0.61849
17.36, 0.618492
17.37, 0.618494
17.38, 0.618497
17.39, 0.618499
17.4, 0.618501
17.41, 0.618503
17.42, 0.618505
17.43, 0.618507
17.44, 0.618509
17.45, 0.618511
17.46, 0.618514
17.47, 0.618516
17.48, 0.618518
17.49, 0.61852
17.5, 0.618522
17.51, 0.618524
17.52, 0.618526
17.53, 0.618528
17.54, 0.61853
17.55, 0.618532
17.56, 0.618534
17.57, 0.618536
17.58, 0.618538
17.59, 0.61854
17.6, 0.618542
17.61, 0.618544
17.62, 0.618546
17.63, 0.618548
17.64, 0.61855
17.65, 0.618552
17.66, 0.618554
17.67, 0.618556
17.68, 0.618558
17.69, 0.61856
17.7, 0.618561
17.71, 0.618563
17.72, 0.618565
17.73, 0.618567
17.74, 0.618569
17.75, 0.618571
17.76, 0.618573
17.77, 0.618575
17.78, 0.618576
17.79, 0.618578
17.8, 0.61858
17.81, 0.618582
17.82, 0.618584
17.83, 0.618586
17.84, 0.618587
17.85, 0.618589
17.86, 0.618591
17.87, 0.618593
17.88, 0.618595
17.89, 0.618596
17.9, 0.618598
17.91, 0.6186
17.92, 0.618602
17.93, 0.618603
17.94, 0.618605
17.95, 0.618607
17.96, 0.618609
17.97, 0.61861
17.98, 0.618612
17.99, 0.618614
18, 0.618615
18.01, 0.618617
18.02, 0.618619
18.03, 0.61862
18.04, 0.618622
18.05, 0.618624
18.06, 0.618626
18.07, 0.618627
18.08, 0.618629
18.09, 0.61863
18.1, 0.618632
18.11, 0.618634
18.12, 0.618635
18.13, 0.618637
18.14, 0.618639
18.15, 0.61864
18.16, 0.618642
18.17, 0.618643
18.18, 0.618645
18.19, 0.618647
18.2, 0.618648
18.21, 0.61865
18.22, 0.618651
18.23, 0.618653
18.24, 0.618654
18.25, 0.618656
18.26, 0.618657
18.27, 0.618659
18.28, 0.618661
18.29, 0.618662
18.3, 0.618664
18.31, 0.618665
18.32, 0.618667
18.33, 0.618668
18.34, 0.61867
18.35, 0.618671
18.36, 0.618673
18.37, 0.618674
18.38, 0.618676
18.39, 0.618677
18.4, 0.618678
18.41, 0.61868
18.42, 0.618681
18.43, 0.618683
18.44, 0.618684
18.45, 0.618686
18.46, 0.618687
18.47, 0.618689
18.48, 0.61869
18.49, 0.618691
18.5, 0.618693
18.51, 0.618694
18.52, 0.618696
18.53, 0.618697
18.54, 0.618698
18.55, 0.6187
18.56, 0.618701
18.57, 0.618702
18.58, 0.618704
18.59, 0.618705
18.6, 0.618707
18.61, 0.618708
18.62, 0.618709
18.63, 0.618711
18.64, 0.618712
18.65, 0.618713
18.66, 0.618715
18.67, 0.618716
18.68, 0.618717
18.69, 0.618719
18.7, 0.61872
18.71, 0.618721
18.72, 0.618722
18.73, 0.618724
18.74, 0.618725
18.75, 0.618726
18.76, 0.618728
18.77, 0.618729
18.78, 0.61873
18.79, 0.618731
18.8, 0.618733
18.81, 0.618734
18.82, 0.618735
18.83, 0.618736
18.84, 0.618738
18.85, 0.618739
18.86, 0.61874
18.87, 0.618741
18.88, 0.618742
18.89, 0.618744
18.9, 0.618745
18.91, 0.618746
18.92, 0.618747
18.93, 0.618748
18.94, 0.61875
18.95, 0.618751
18.96, 0.618752
18.97, 0.618753
18.98, 0.618754
18.99, 0.618756
19, 0.618757
19.01, 0.618758
19.02, 0.618759
19.03, 0.61876
19.04, 0.618761
19.05, 0.618762
19.06, 0.618764
19.07, 0.618765
19.08, 0.618766
19.09, 0.618767
19.1, 0.618768
19.11, 0.618769
19.12, 0.61877
19.13, 0.618771
19.14, 0.618773
19.15, 0.618774
19.16, 0.618775
19.17, 0.618776
19.18, 0.618777
19.19, 0.618778
19.2, 0.618779
19.21, 0.61878
19.22, 0.618781
19.23, 0.618782
19.24, 0.618783
19.25, 0.618784
19.26, 0.618785
19.27, 0.618786
19.28, 0.618788
19.29, 0.618789
19.3, 0.61879
19.31, 0.618791
19.32, 0.618792
19.33, 0.618793
19.34, 0.618794
19.35, 0.618795
19.36, 0.618796
19.37, 0.618797
19.38, 0.618798
19.39, 0.618799
19.4, 0.6188
19.41, 0.618801
19.42, 0.618802
19.43, 0.618803
19.44, 0.618804
19.45, 0.618805
19.46, 0.618806
19.47, 0.618807
19.48, 0.618808
19.49, 0.618809
19.5, 0.61881
19.51, 0.61881
19.52, 0.618811
19.53, 0.618812
19.54, 0.618813
19.55, 0.618814
19.56, 0.618815
19.57, 0.618816
19.58, 0.618817
19.59, 0.618818
19.6, 0.618819
19.61, 0.61882
19.62, 0.618821
19.63, 0.618822
19.64, 0.618823
19.65, 0.618824
19.66, 0.618824
19.67, 0.618825
19.68, 0.618826
19.69, 0.618827
19.7, 0.618828
19.71, 0.618829
19.72, 0.61883
19.73, 0.618831
19.74, 0.618832
19.75, 0.618832
19.76, 0.618833
19.77, 0.618834
19.78, 0.618835
19.79, 0.618836
19.8, 0.618837
19.81, 0.618838
19.82, 0.618838
19.83, 0.618839
19.84, 0.61884
19.85, 0.618841
19.86, 0.618842
19.87, 0.618843
19.88, 0.618843
19.89, 0.618844
19.9, 0.618845
19.91, 0.618846
19.92, 0.618847
19.93, 0.618848
19.94, 0.618848
19.95, 0.618849
19.96, 0.61885
19.97, 0.618851
19.98, 0.618852
19.99, 0.618852
20, 0.618853
